fiscal_year,health_authority,hospital_name,procedure_group,waiting,completed,completed_50th_percentile,completed_90th_percentile
2012/13,All Health Authorities,All Facilities,D&C and Related Surgery,946.0,5441.0,3.6,13.4
2012/13,All Health Authorities,All Facilities,Dental Surgery,2203.0,6171.0,6.3,28.0
2012/13,All Health Authorities,All Facilities,Endarterectomy,147.0,614.0,3.0,12.0
2012/13,All Health Authorities,All Facilities,Esophagectomy,25.0,126.0,3.1,15.4
2012/13,All Health Authorities,All Facilities,Examination Under Anaesthetic,239.0,930.0,4.0,16.9
2012/13,All Health Authorities,All Facilities,Excision Gynecomastia,85.0,219.0,6.0,30.3
2012/13,All Health Authorities,All Facilities,Excision Lesion/Tumour,484.0,2409.0,3.3,16.3
2012/13,All Health Authorities,All Facilities,Facial Bone Reconstruction,205.0,777.0,5.0,24.5
2012/13,All Health Authorities,All Facilities,Fallopian Tube/Ovarian Surgery,1041.0,3766.0,5.4,22.0
2012/13,All Health Authorities,All Facilities,Fistula Repair - Non Vascular,64.0,189.0,6.1,22.5
2012/13,All Health Authorities,All Facilities,Foot/Ankle Surgery,513.0,762.0,12.6,38.1
2012/13,All Health Authorities,All Facilities,Foreign Body Removal Surgery,52.0,210.0,3.1,19.7
2012/13,All Health Authorities,All Facilities,Fracture Repair,211.0,1167.0,1.0,13.9
2012/13,All Health Authorities,All Facilities,Free Flap Graft,23.0,117.0,3.0,14.7
2012/13,All Health Authorities,All Facilities,Gastrostomy/Jejunostomy,10.0,87.0,1.4,6.3
2012/13,All Health Authorities,All Facilities,Hand/Wrist Surgery,909.0,2002.0,6.6,29.0
2012/13,All Health Authorities,All Facilities,Hernia Repair - Abdominal,4096.0,11286.0,7.7,32.0
2012/13,All Health Authorities,All Facilities,Hernia Repair - Hiatal,215.0,279.0,13.9,54.3
2012/13,All Health Authorities,All Facilities,Hip Replacement,2193.0,4998.0,13.4,31.4
2012/13,All Health Authorities,All Facilities,Kidney/Bladder Stone Removal,223.0,1479.0,3.7,11.1
2012/13,All Health Authorities,All Facilities,Knee - ACL Repair,909.0,1916.0,9.0,34.1
2012/13,All Health Authorities,All Facilities,Knee - Meniscectomy,708.0,2700.0,7.7,31.1
2012/13,All Health Authorities,All Facilities,Knee Arthroscopy,2769.0,5628.0,8.0,30.7
2012/13,All Health Authorities,All Facilities,Knee Replacement,4210.0,7206.0,17.6,36.6
2012/13,All Health Authorities,All Facilities,Laparoscopy,330.0,1444.0,4.4,18.1
2012/13,All Health Authorities,All Facilities,Laparotomy,63.0,362.0,3.0,12.6
2012/13,All Health Authorities,All Facilities,Lens & Vitreous (non-cataract) Surgery,513.0,2997.0,2.9,16.0
2012/13,All Health Authorities,All Facilities,Ligament Surgery,65.0,167.0,6.1,25.6
2012/13,All Health Authorities,All Facilities,Lipectomy,42.0,125.0,5.0,18.3
2012/13,All Health Authorities,All Facilities,Lung Surgery,69.0,686.0,2.1,5.3
2012/13,All Health Authorities,All Facilities,Male Reproductive Surgery,825.0,2256.0,6.0,27.4
